0.001 pkt: 116 | sent
0.001 pkt: 117 | sent
0.001 pkt: 118 | sent
0.001 pkt: 119 | sent
0.001 pkt: 120 | sent
0.001 pkt: 121 | sent
0.001 pkt: 122 | sent
0.001 pkt: 123 | sent
0.001 pkt: 124 | sent
0.001 pkt: 125 | sent
0.001 pkt: 126 | sent
0.001 pkt: 127 | sent
0.001 pkt: 128 | sent
0.001 pkt: 129 | sent
0.001 pkt: 130 | sent
0.001 pkt: 131 | sent
0.001 pkt: 132 | sent
0.001 pkt: 133 | sent
0.002 pkt: 134 | sent
0.002 pkt: 135 | sent
0.002 pkt: 136 | sent
0.002 pkt: 137 | sent
0.002 pkt: 138 | sent
0.002 pkt: 139 | sent
0.002 pkt: 140 | sent
0.002 pkt: 141 | sent
0.002 pkt: 142 | sent
0.002 pkt: 143 | sent
0.002 pkt: 144 | sent
0.002 pkt: 145 | sent
0.002 pkt: 146 | sent
0.002 pkt: 147 | sent
0.002 pkt: 148 | sent
0.002 pkt: 149 | sent
0.002 pkt: 150 | sent
0.002 pkt: 151 | sent
0.002 pkt: 152 | sent
0.002 pkt: 153 | sent
0.002 pkt: 154 | sent
0.002 pkt: 155 | sent
0.002 pkt: 156 | sent
0.002 pkt: 157 | sent
0.002 pkt: 158 | sent
0.002 pkt: 159 | sent
0.002 pkt: 160 | sent
0.002 pkt: 161 | sent
0.002 pkt: 162 | sent
0.002 pkt: 163 | sent
0.002 pkt: 164 | sent
0.002 pkt: 165 | sent
0.002 pkt: 166 | sent
0.002 pkt: 167 | sent
0.002 pkt: 168 | sent
0.002 pkt: 169 | sent
0.002 pkt: 170 | sent
0.002 pkt: 171 | sent
0.002 pkt: 172 | sent
0.002 pkt: 173 | sent
0.002 pkt: 174 | sent
0.002 pkt: 175 | sent
0.002 pkt: 176 | sent
0.002 pkt: 177 | sent
0.002 pkt: 178 | sent
0.002 pkt: 179 | sent
0.002 pkt: 180 | sent
0.002 pkt: 181 | sent
0.002 pkt: 182 | sent
0.002 pkt: 183 | sent
0.002 pkt: 184 | sent
0.002 pkt: 185 | sent
0.002 pkt: 186 | sent
0.002 pkt: 187 | sent
0.002 pkt: 188 | sent
0.002 pkt: 189 | sent
0.002 pkt: 190 | sent
0.002 pkt: 191 | sent
0.002 pkt: 192 | sent
0.002 pkt: 193 | sent
0.002 pkt: 194 | sent
0.002 pkt: 195 | sent
0.002 pkt: 196 | sent
0.002 pkt: 197 | sent
0.002 pkt: 198 | sent
0.002 pkt: 199 | sent
0.002 pkt: 200 | sent
0.002 pkt: 201 | sent
0.002 pkt: 202 | sent
0.002 pkt: 203 | sent
0.002 pkt: 204 | sent
0.002 pkt: 205 | sent
0.002 pkt: 206 | sent
0.002 pkt: 207 | sent
0.002 pkt: 208 | sent
0.002 pkt: 209 | sent
0.002 pkt: 210 | sent
0.002 pkt: 211 | sent
0.002 pkt: 212 | sent
0.002 pkt: 213 | sent
0.002 pkt: 214 | sent
0.002 pkt: 215 | sent
0.002 pkt: 216 | sent
0.002 pkt: 217 | sent
0.002 pkt: 218 | sent
0.002 pkt: 219 | sent
0.002 pkt: 220 | sent
0.002 pkt: 221 | sent
0.002 pkt: 222 | sent
0.002 pkt: 223 | sent
0.002 pkt: 224 | sent
0.002 pkt: 225 | sent
0.002 pkt: 226 | sent
0.002 pkt: 227 | sent
0.002 pkt: 228 | sent
0.002 pkt: 229 | sent
0.002 pkt: 230 | sent
0.002 pkt: 231 | sent
0.002 pkt: 232 | sent
0.002 pkt: 233 | sent
0.002 pkt: 234 | sent
0.002 pkt: 235 | sent
0.002 pkt: 236 | sent
0.002 pkt: 237 | sent
0.002 pkt: 238 | sent
0.002 pkt: 239 | sent
0.002 pkt: 240 | sent
0.002 pkt: 241 | sent
0.002 pkt: 242 | sent
0.002 pkt: 243 | sent
0.002 pkt: 244 | sent
0.002 pkt: 245 | sent
0.002 pkt: 246 | sent
0.002 pkt: 247 | sent
0.002 pkt: 248 | sent
0.002 pkt: 249 | sent
0.002 pkt: 250 | sent
0.002 pkt: 251 | sent
0.002 pkt: 252 | sent
0.002 pkt: 253 | sent
0.002 pkt: 254 | sent
0.002 pkt: 255 | sent
0.002 pkt: 256 | sent
0.002 pkt: 257 | sent
0.002 pkt: 258 | sent
0.002 pkt: 259 | sent
0.002 pkt: 260 | sent
0.002 pkt: 261 | sent
0.002 pkt: 262 | sent
0.002 pkt: 263 | sent
0.002 pkt: 264 | sent
0.002 pkt: 265 | sent
0.002 pkt: 266 | sent
0.002 pkt: 267 | sent
0.002 pkt: 268 | sent
0.002 pkt: 269 | sent
0.002 pkt: 270 | sent
0.002 pkt: 271 | sent
0.002 pkt: 272 | sent
0.002 pkt: 273 | sent
0.002 pkt: 274 | sent
0.002 pkt: 275 | sent
0.002 pkt: 276 | sent
0.002 pkt: 277 | sent
0.002 pkt: 278 | sent
0.002 pkt: 279 | sent
0.002 pkt: 280 | sent
0.002 pkt: 281 | sent
0.002 pkt: 282 | sent
0.002 pkt: 283 | sent
0.002 pkt: 284 | sent
0.002 pkt: 285 | sent
0.002 pkt: 286 | sent
0.002 pkt: 287 | sent
0.002 pkt: 288 | sent
0.002 pkt: 289 | sent
0.002 pkt: 290 | sent
0.002 pkt: 291 | sent
0.002 pkt: 292 | sent
0.002 pkt: 293 | sent
0.002 pkt: 294 | sent
0.002 pkt: 295 | sent
0.002 pkt: 296 | sent
0.002 pkt: 297 | sent
0.002 pkt: 298 | sent
0.002 pkt: 299 | sent
0.002 pkt: 300 | sent
0.002 pkt: 301 | sent
0.002 pkt: 302 | sent
0.002 pkt: 303 | sent
0.002 pkt: 304 | sent
0.002 pkt: 305 | sent
0.002 pkt: 306 | sent
0.002 pkt: 307 | sent
0.002 pkt: 308 | sent
0.002 pkt: 309 | sent
0.002 pkt: 310 | sent
0.002 pkt: 311 | sent
0.002 pkt: 312 | sent
0.002 pkt: 313 | sent
0.002 pkt: 314 | sent
0.002 pkt: 315 | sent
0.002 pkt: 316 | sent
0.002 pkt: 317 | sent
0.002 pkt: 318 | sent
0.002 pkt: 319 | sent
0.002 pkt: 320 | sent
0.002 pkt: 321 | sent
0.002 pkt: 322 | sent
0.002 pkt: 323 | sent
0.002 pkt: 324 | sent
0.002 pkt: 325 | sent
0.002 pkt: 326 | sent
0.002 pkt: 327 | sent
0.002 pkt: 328 | sent
0.002 pkt: 329 | sent
0.002 pkt: 330 | sent
0.002 pkt: 331 | sent
0.002 pkt: 332 | sent
0.002 pkt: 333 | sent
0.002 pkt: 334 | sent
0.002 pkt: 335 | sent
0.002 pkt: 336 | sent
0.002 pkt: 337 | sent
0.002 pkt: 338 | sent
0.002 pkt: 339 | sent
0.002 pkt: 340 | sent
0.002 pkt: 341 | sent
0.002 pkt: 342 | sent
0.002 pkt: 343 | sent
0.002 pkt: 344 | sent
0.002 pkt: 345 | sent
0.002 pkt: 346 | sent
0.002 pkt: 347 | sent
0.002 pkt: 348 | sent
0.002 pkt: 349 | sent
0.002 pkt: 350 | sent
0.002 pkt: 351 | sent
0.002 pkt: 352 | sent
0.002 pkt: 353 | sent
0.002 pkt: 354 | sent
0.002 pkt: 355 | sent
0.002 pkt: 356 | sent
0.002 pkt: 357 | sent
0.002 pkt: 358 | sent
0.002 pkt: 359 | sent
0.002 pkt: 360 | sent
