0.001 pkt: 320 | sent
0.001 pkt: 321 | sent
0.001 pkt: 322 | sent
0.001 pkt: 323 | sent
0.001 pkt: 324 | sent
0.001 pkt: 325 | sent
0.001 pkt: 326 | sent
0.001 pkt: 327 | sent
0.001 pkt: 328 | sent
0.001 pkt: 329 | sent
0.001 pkt: 330 | sent
0.001 pkt: 331 | sent
0.001 pkt: 332 | sent
0.001 pkt: 333 | sent
0.001 pkt: 334 | sent
0.001 pkt: 335 | sent
0.001 pkt: 336 | sent
0.001 pkt: 337 | sent
0.001 pkt: 338 | sent
0.001 pkt: 339 | sent
0.001 pkt: 340 | sent
0.001 pkt: 341 | sent
0.001 pkt: 342 | sent
0.001 pkt: 343 | sent
0.001 pkt: 344 | sent
0.001 pkt: 345 | sent
0.001 pkt: 346 | sent
0.001 pkt: 347 | sent
0.001 pkt: 348 | sent
0.001 pkt: 349 | sent
0.001 pkt: 350 | sent
0.001 pkt: 351 | sent
0.001 pkt: 352 | sent
0.001 pkt: 353 | sent
0.001 pkt: 354 | sent
0.001 pkt: 355 | sent
0.001 pkt: 356 | sent
0.001 pkt: 357 | sent
0.001 pkt: 358 | sent
0.001 pkt: 359 | sent
0.001 pkt: 360 | sent
0.001 pkt: 361 | sent
0.001 pkt: 362 | sent
0.001 pkt: 363 | sent
0.001 pkt: 364 | sent
0.001 pkt: 365 | sent
0.001 pkt: 366 | sent
0.001 pkt: 367 | sent
0.001 pkt: 368 | sent
0.001 pkt: 369 | sent
0.001 pkt: 370 | sent
0.001 pkt: 371 | sent
0.001 pkt: 372 | sent
0.001 pkt: 373 | sent
0.001 pkt: 374 | sent
0.001 pkt: 375 | sent
0.001 pkt: 376 | sent
0.001 pkt: 377 | sent
0.001 pkt: 378 | sent
0.001 pkt: 379 | sent
0.001 pkt: 380 | sent
0.001 pkt: 381 | sent
0.001 pkt: 382 | sent
0.001 pkt: 383 | sent
0.001 pkt: 384 | sent
0.001 pkt: 385 | sent
0.001 pkt: 386 | sent
0.001 pkt: 387 | sent
0.001 pkt: 388 | sent
0.001 pkt: 389 | sent
0.001 pkt: 390 | sent
0.001 pkt: 391 | sent
0.001 pkt: 392 | sent
0.001 pkt: 393 | sent
0.001 pkt: 394 | sent
0.001 pkt: 395 | sent
0.001 pkt: 396 | sent
0.001 pkt: 397 | sent
0.001 pkt: 398 | sent
0.001 pkt: 399 | sent
0.001 pkt: 400 | sent
0.001 pkt: 401 | sent
0.001 pkt: 402 | sent
0.001 pkt: 403 | sent
0.001 pkt: 404 | sent
0.001 pkt: 405 | sent
0.001 pkt: 406 | sent
0.001 pkt: 407 | sent
0.001 pkt: 408 | sent
0.001 pkt: 409 | sent
0.001 pkt: 410 | sent
0.001 pkt: 411 | sent
0.001 pkt: 412 | sent
0.001 pkt: 413 | sent
0.001 pkt: 414 | sent
0.001 pkt: 415 | sent
0.001 pkt: 416 | sent
0.001 pkt: 417 | sent
0.001 pkt: 418 | sent
0.001 pkt: 419 | sent
0.001 pkt: 420 | sent
0.001 pkt: 421 | sent
0.001 pkt: 422 | sent
0.001 pkt: 423 | sent
0.001 pkt: 424 | sent
0.001 pkt: 425 | sent
0.001 pkt: 426 | sent
0.001 pkt: 427 | sent
0.001 pkt: 428 | sent
0.001 pkt: 429 | sent
0.001 pkt: 430 | sent
0.001 pkt: 431 | sent
0.001 pkt: 432 | sent
0.001 pkt: 433 | sent
0.001 pkt: 434 | sent
0.001 pkt: 435 | sent
0.001 pkt: 436 | sent
0.001 pkt: 437 | sent
0.001 pkt: 438 | sent
0.001 pkt: 439 | sent
0.001 pkt: 440 | sent
0.001 pkt: 441 | sent
0.001 pkt: 442 | sent
0.001 pkt: 443 | sent
0.001 pkt: 444 | sent
0.001 pkt: 445 | sent
0.001 pkt: 446 | sent
0.001 pkt: 447 | sent
0.001 pkt: 448 | sent
0.001 pkt: 449 | sent
0.001 pkt: 450 | sent
0.001 pkt: 451 | sent
0.001 pkt: 452 | sent
0.001 pkt: 453 | sent
0.001 pkt: 454 | sent
0.001 pkt: 455 | sent
0.001 pkt: 456 | sent
0.001 pkt: 457 | sent
0.001 pkt: 458 | sent
0.001 pkt: 459 | sent
0.001 pkt: 460 | sent
0.001 pkt: 461 | sent
0.001 pkt: 462 | sent
0.001 pkt: 463 | sent
0.001 pkt: 464 | sent
0.001 pkt: 465 | sent
0.001 pkt: 466 | sent
0.001 pkt: 467 | sent
0.001 pkt: 468 | sent
0.001 pkt: 469 | sent
0.001 pkt: 470 | sent
0.001 pkt: 471 | sent
0.001 pkt: 472 | sent
0.001 pkt: 473 | sent
0.001 pkt: 474 | sent
0.001 pkt: 475 | sent
0.001 pkt: 476 | sent
0.001 pkt: 477 | sent
0.001 pkt: 478 | sent
0.001 pkt: 479 | sent
0.001 pkt: 480 | sent
0.001 pkt: 481 | sent
0.001 pkt: 482 | sent
0.001 pkt: 483 | sent
0.001 pkt: 484 | sent
0.001 pkt: 485 | sent
0.001 pkt: 486 | sent
0.001 pkt: 487 | sent
0.001 pkt: 488 | sent
0.001 pkt: 489 | sent
0.001 pkt: 490 | sent
0.001 pkt: 491 | sent
0.001 pkt: 492 | sent
0.001 pkt: 493 | sent
0.001 pkt: 494 | sent
0.001 pkt: 495 | sent
0.001 pkt: 496 | sent
0.001 pkt: 497 | sent
0.001 pkt: 498 | sent
0.001 pkt: 499 | sent
0.001 pkt: 500 | sent
0.001 pkt: 501 | sent
0.001 pkt: 502 | sent
0.001 pkt: 503 | sent
0.001 pkt: 504 | sent
0.001 pkt: 505 | sent
0.001 pkt: 506 | sent
0.001 pkt: 507 | sent
0.001 pkt: 508 | sent
0.001 pkt: 509 | sent
0.001 pkt: 510 | sent
0.001 pkt: 511 | sent
0.001 pkt: 512 | sent
0.001 pkt: 513 | sent
0.001 pkt: 514 | sent
0.001 pkt: 515 | sent
0.001 pkt: 516 | sent
0.001 pkt: 517 | sent
0.001 pkt: 518 | sent
0.001 pkt: 519 | sent
0.001 pkt: 520 | sent
0.001 pkt: 521 | sent
0.001 pkt: 522 | sent
0.001 pkt: 523 | sent
0.001 pkt: 524 | sent
0.001 pkt: 525 | sent
0.001 pkt: 526 | sent
0.001 pkt: 527 | sent
0.001 pkt: 528 | sent
0.001 pkt: 529 | sent
0.001 pkt: 530 | sent
0.001 pkt: 531 | sent
0.001 pkt: 532 | sent
0.001 pkt: 533 | sent
0.001 pkt: 534 | sent
0.001 pkt: 535 | sent
0.001 pkt: 536 | sent
0.001 pkt: 537 | sent
