0.172 pkt: 114   | sent
0.172 ACK: 88    | recieved
0.170 pkt: 89    | 3 duplicated ACKs
0.172 pkt: 115   | sent
0.183 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.201 ACK: 88    | recieved
0.207 ACK: 88    | recieved
0.213 ACK: 88    | recieved
0.219 ACK: 88    | recieved
0.219 ACK: 88    | recieved
0.225 ACK: 88    | recieved
0.225 ACK: 88    | recieved
0.236 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.248 ACK: 88    | recieved
0.254 ACK: 88    | recieved
0.267 ACK: 88    | recieved
0.267 ACK: 88    | recieved
0.273 ACK: 115   | recieved
0.273 pkt: 116   | sent
0.273 ACK: 116   | recieved
0.273 pkt: 117   | sent
0.273 pkt: 118   | sent
0.274 pkt: 119   | sent
0.274 ACK: 117   | recieved
0.274 pkt: 120   | sent
0.274 ACK: 118   | recieved
0.274 pkt: 121   | sent
0.274 ACK: 119   | recieved
0.274 pkt: 122   | sent
0.274 ACK: 120   | recieved
0.274 pkt: 123   | sent
0.274 ACK: 121   | recieved
0.274 pkt: 124   | sent
0.274 ACK: 122   | recieved
0.274 pkt: 125   | sent
0.274 pkt: 126   | sent
0.274 ACK: 123   | recieved
0.274 ACK: 124   | recieved
0.274 pkt: 127   | sent
0.274 pkt: 128   | sent
0.274 ACK: 125   | recieved
0.274 pkt: 129   | sent
0.274 ACK: 126   | recieved
0.274 pkt: 130   | sent
0.274 ACK: 127   | recieved
0.274 pkt: 131   | sent
0.275 pkt: 132   | sent
0.275 ACK: 128   | recieved
0.275 ACK: 129   | recieved
0.275 pkt: 133   | sent
0.275 ACK: 130   | recieved
0.275 pkt: 134   | sent
0.275 pkt: 135   | sent
0.275 ACK: 131   | recieved
0.275 pkt: 136   | sent
0.275 ACK: 132   | recieved
0.275 pkt: 137   | sent
0.275 ACK: 133   | recieved
0.275 ACK: 134   | recieved
0.275 pkt: 138   | sent
0.275 pkt: 139   | sent
0.275 pkt: 140   | sent
0.275 ACK: 135   | recieved
0.275 pkt: 141   | sent
0.275 ACK: 136   | recieved
0.275 ACK: 137   | recieved
0.275 pkt: 142   | sent
0.275 pkt: 143   | sent
0.276 pkt: 144   | sent
0.276 ACK: 138   | recieved
0.276 pkt: 145   | sent
0.276 ACK: 139   | recieved
0.276 pkt: 146   | sent
0.276 ACK: 140   | recieved
0.276 ACK: 141   | recieved
0.276 pkt: 147   | sent
0.276 ACK: 142   | recieved
0.276 pkt: 148   | sent
0.276 ACK: 143   | recieved
0.276 pkt: 149   | sent
0.276 pkt: 150   | sent
0.276 ACK: 144   | recieved
0.276 pkt: 151   | sent
0.276 ACK: 145   | recieved
0.276 pkt: 152   | sent
0.276 ACK: 146   | recieved
0.276 pkt: 153   | sent
0.276 pkt: 154   | sent
0.276 ACK: 147   | recieved
0.277 pkt: 155   | sent
0.277 ACK: 148   | recieved
0.277 pkt: 156   | sent
0.277 pkt: 157   | sent
0.277 ACK: 149   | recieved
0.277 pkt: 158   | sent
0.277 ACK: 150   | recieved
0.277 ACK: 151   | recieved
0.277 pkt: 159   | sent
0.277 pkt: 160   | sent
0.277 ACK: 152   | recieved
0.277 pkt: 161   | sent
0.277 ACK: 153   | recieved
0.277 pkt: 162   | sent
0.277 pkt: 163   | sent
0.277 ACK: 154   | recieved
0.277 pkt: 164   | sent
0.278 pkt: 165   | sent
0.278 ACK: 155   | recieved
0.278 pkt: 166   | sent
0.278 ACK: 156   | recieved
0.278 ACK: 157   | recieved
0.278 pkt: 167   | sent
0.278 pkt: 168   | sent
0.278 ACK: 158   | recieved
0.278 pkt: 169   | sent
0.278 ACK: 159   | recieved
0.278 pkt: 170   | sent
0.278 ACK: 160   | recieved
0.278 ACK: 161   | recieved
0.278 pkt: 171   | sent
0.278 ACK: 162   | recieved
0.278 pkt: 172   | sent
0.278 ACK: 163   | recieved
0.278 pkt: 173   | sent
0.278 ACK: 164   | recieved
0.278 pkt: 174   | sent
0.279 ACK: 165   | recieved
0.279 pkt: 175   | sent
0.279 ACK: 166   | recieved
0.279 pkt: 176   | sent
0.279 pkt: 177   | sent
0.279 pkt: 178   | sent
0.279 ACK: 167   | recieved
0.279 pkt: 179   | sent
0.279 ACK: 168   | recieved
0.279 ACK: 169   | recieved
0.279 ACK: 170   | recieved
0.279 ACK: 171   | recieved
0.279 ACK: 172   | recieved
0.279 ACK: 173   | recieved
0.279 ACK: 174   | recieved
0.279 ACK: 175   | recieved
0.279 pkt: 180   | sent
0.279 ACK: 176   | recieved
0.279 pkt: 181   | sent
0.279 ACK: 177   | recieved
0.279 ACK: 178   | recieved
0.279 pkt: 182   | sent
0.280 ACK: 179   | recieved
0.280 pkt: 183   | sent
0.280 pkt: 184   | sent
0.280 pkt: 185   | sent
0.280 pkt: 186   | sent
0.280 pkt: 187   | sent
0.280 pkt: 188   | sent
0.280 ACK: 180   | recieved
0.280 pkt: 189   | sent
0.280 ACK: 181   | recieved
0.280 ACK: 182   | recieved
0.280 pkt: 190   | sent
0.280 pkt: 191   | sent
0.280 pkt: 192   | sent
0.280 pkt: 193   | sent
0.280 pkt: 194   | sent
0.280 ACK: 183   | recieved
0.280 pkt: 195   | sent
0.280 ACK: 184   | recieved
0.280 pkt: 196   | sent
0.281 pkt: 197   | sent
0.281 ACK: 185   | recieved
0.281 pkt: 198   | sent
0.281 ACK: 186   | recieved
0.281 pkt: 199   | sent
0.281 pkt: 200   | sent
0.281 ACK: 187   | recieved
0.281 pkt: 201   | sent
0.281 ACK: 188   | recieved
0.281 pkt: 202   | sent
0.281 ACK: 189   | recieved
0.281 pkt: 203   | sent
0.281 ACK: 190   | recieved
0.281 pkt: 204   | sent
0.281 ACK: 191   | recieved
0.281 pkt: 205   | sent
0.281 ACK: 192   | recieved
0.281 ACK: 193   | recieved
0.281 pkt: 206   | sent
0.281 pkt: 207   | sent
0.281 ACK: 194   | recieved
0.281 pkt: 208   | sent
0.281 ACK: 195   | recieved
0.281 pkt: 209   | sent
0.282 ACK: 196   | recieved
0.282 pkt: 210   | sent
0.282 pkt: 211   | sent
0.282 ACK: 197   | recieved
0.282 ACK: 198   | recieved
0.282 pkt: 212   | sent
0.282 pkt: 213   | sent
0.282 pkt: 214   | sent
0.282 ACK: 198   | recieved
0.282 pkt: 215   | sent
0.282 ACK: 198   | recieved
0.282 pkt: 216   | sent
0.282 ACK: 198   | recieved
0.281 pkt: 199   | 3 duplicated ACKs
0.282 pkt: 217   | sent
0.294 ACK: 198   | recieved
0.300 ACK: 198   | recieved
0.307 ACK: 198   | recieved
0.313 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.320 ACK: 198   | recieved
0.325 ACK: 198   | recieved
0.331 ACK: 198   | recieved
0.337 ACK: 198   | recieved
